Time;Current;Temperature;Vbat1;Vbat2;Vbat3;Vbat4
0;1.039;26.19;4.05;4.05;4.01;4.05
1;1.039;26.19;4.05;4.04;4.01;4.05
3;1.035;26.19;4.03;4.05;4.01;4.04
5;1.039;26.19;4.05;4.02;4.01;4.05
7;1.037;26.19;4.03;4.05;4.01;4.03
8;1.035;26.19;4.05;4.02;4.01;4.05
10;1.035;26.19;4.03;4.04;4.01;4.03
12;1.037;26.19;4.05;4.01;4.01;4.04
14;1.035;26.19;4.03;4.04;4.01;4.03
16;1.037;26.19;4.05;4.01;4.01;4.04
18;1.037;26.19;4.03;4.04;4.01;4.03
20;1.037;26.19;4.05;4.01;4.01;4.04
22;1.035;26.19;4.02;4.04;4.01;4.03
23;1.035;26.19;4.04;4.01;4.01;4.04
25;1.035;26.19;4.02;4.04;4.01;4.03
27;1.039;26.19;4.04;4.01;4.01;4.04
29;1.037;26.19;4.02;4.04;4.01;4.03
31;1.039;26.19;4.04;4.01;4.01;4.04
33;1.037;26.19;4.02;4.04;4.01;4.03
35;1.034;26.19;4.04;4.01;4.01;4.04
36;1.035;26.19;4.02;4.04;4.01;4.03
38;1.032;26.19;4.04;4.01;4.01;4.04
40;1.037;26.19;4.02;4.04;4.01;4.03
42;1.035;26.19;4.04;4.01;4.01;4.04
44;1.034;26.19;4.02;4.04;4.01;4.02
46;1.035;26.19;4.04;4.01;4.01;4.04
48;1.035;26.19;4.02;4.04;4.01;4.02
50;1.039;26.19;4.04;4.01;4.01;4.04
51;1.035;26.19;4.02;4.04;4.01;4.02
53;1.039;26.19;4.04;4.01;4.01;4.04
55;1.037;26.19;4.02;4.04;4.01;4.02
57;1.035;26.19;4.04;4.01;4.01;4.04
59;1.037;26.19;4.02;4.03;4.01;4.02
61;1.035;26.12;4.04;4.01;4.01;4.04
63;1.035;26.19;4.02;4.03;4.01;4.02
65;1.035;26.19;4.04;4.01;4.01;4.04
66;1.039;26.19;4.02;4.03;4.01;4.02
68;1.037;26.19;4.04;4;4.01;4.04
70;1.037;26.12;4.02;4.03;4.01;4.02
72;1.037;26.12;4.04;4;4.01;4.04
74;1.035;26.12;4.02;4.03;4.01;4.02
76;1.037;26.19;4.04;4;4.01;4.04
78;1.034;26.12;4.02;4.03;4.01;4.02
80;1.035;26.12;4.04;4;4.01;4.04
81;1.037;26.12;4.02;4.03;4.01;4.02
83;1.039;26.19;4.04;4;4.01;4.04
85;1.034;26.12;4.02;4.03;4.01;4.02
87;1.037;26.12;4.04;4;4;4.04
89;1.032;26.12;4.02;4.03;4.01;4.02
91;1.037;26.12;4.04;4;4;4.04
93;1.035;26.12;4.01;4.03;4.01;4.02
95;1.034;26.12;4.03;4;4;4.04
96;1.03;26.12;4.01;4.03;4.01;4.02
98;1.035;26.12;4.03;4;4;4.04
100;1.034;26.12;4.01;4.03;4;4.02
102;1.037;26.12;4.03;4;4;4.03
104;1.037;26.12;4.01;4.03;4.01;4.02
106;1.035;26.12;4.03;4;4;4.03
108;1.035;26.12;4.01;4.03;4.01;4.02
110;1.034;26.12;4.03;4;4;4.03
111;1.039;26.12;4.01;4.03;4;4.02
113;1.035;26.12;4.03;4;4;4.03
115;1.032;26.12;4.01;4.03;4;4.02
117;1.034;26.12;4.03;4;4;4.03
119;1.034;26.12;4.01;4.03;4;4.02
121;1.034;26.12;4.03;4;4;4.03
123;1.032;26.12;4.01;4.03;4.01;4.02
124;1.035;26.12;4.03;4;4;4.03
126;1.035;26.12;4.01;4.03;4;4.02
128;1.034;26.12;4.03;4;4;4.03
130;1.035;26.12;4.01;4.03;4;4.02
132;1.035;26.12;4.03;4;4;4.03
134;1.034;26.12;4.01;4.03;4;4.02
136;1.035;26.12;4.03;4;4;4.03
138;1.032;26.12;4.01;4.03;4;4.02
139;1.03;26.12;4.03;4;4;4.03
141;1.034;26.12;4.01;4.03;4;4.02
143;1.037;26.12;4.03;4;4;4.03
145;1.034;26.12;4.01;4.03;4;4.02
147;1.035;26.12;4.03;4;4;4.03
149;1.034;26.06;4.01;4.03;4;4.01
151;1.03;26.12;4.03;4;4;4.03
153;1.035;26.12;4.01;4.03;4;4.01
154;1.035;26.12;4.03;4;4;4.03
156;1.032;26.12;4.01;4.03;4;4.01
158;1.034;26.12;4.03;4;4;4.03
160;1.034;26.12;4.01;4.03;4;4.01
162;1.032;26.06;4.03;4;4;4.03
164;1.035;26.06;4.01;4.03;4;4.01
166;1.035;26.06;4.03;4;4;4.03
168;1.034;26.12;4.01;4.03;4;4.01
169;1.032;26.12;4.03;4;4;4.03
171;1.032;26.12;4.01;4.03;4;4.01
173;1.037;26.06;4.03;4;4;4.03
175;1.034;26.06;4.01;4.03;4;4.01
177;1.035;26.06;4.03;4;4;4.03
179;1.035;26.06;4.01;4.02;4;4.01
181;1.032;26.06;4.03;4;4;4.03
183;1.034;26.12;4.01;4.02;4;4.01
184;1.034;26.06;4.03;4;4;4.03
186;1.035;26.06;4.01;4.03;4;4.01
188;1.032;26.06;4.03;4;4;4.03
190;1.034;26.06;4.01;4.02;4;4.01
192;1.034;26.06;4.03;4;4;4.03
194;1.032;26.06;4.01;4.02;4;4.01
196;1.035;26.06;4.03;3.99;4;4.03
197;1.034;26.06;4.01;4.02;4;4.01
199;1.032;26.06;4.03;4;4;4.03
201;1.035;26.06;4.01;4.02;4;4.01
203;1.035;26.06;4.03;3.99;4;4.03
205;1.032;26.06;4.01;4.02;4;4.01
207;1.035;26.06;4.03;3.99;4;4.03
209;1.037;26.06;4.01;4.02;4;4.01
211;1.032;26.06;4.03;3.99;4;4.03
212;1.032;26.06;4.01;4.02;4;4.01
214;1.037;26.06;4.03;3.99;4;4.03
216;1.034;26.06;4.01;4.02;4;4.01
218;1.035;26.06;4.02;3.99;4;4.02
220;1.034;26.06;4;4.02;4;4.01
222;1.032;26.06;4.02;3.99;4;4.03
224;1.03;26.06;4;4.02;4;4.01
226;1.035;26.06;4.02;3.99;4;4.03
227;1.035;26.06;4;4.02;4;4.01
229;1.037;26.06;4.02;3.99;4;4.03
231;1.032;26.06;4;4.02;4;4.01
233;1.035;26.06;4.02;3.99;4;4.02
235;1.027;26.06;4;4.02;4;4.01
237;1.034;26.06;4.02;3.99;4;4.03
239;1.032;26.06;4;4.02;4;4.01
